passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,dropoff
55517,16424.420310,431371.890006483,1276473.99000488,30453.2098176572,1439559.66483818,32229,BK28
249209,64597.185382,1695163.15995819,5056614.66000442,190515.61880981,5930043.76488733,145188,BK31
855635,156848.774561,2731968.42052399,9544678.20999599,189137.178692311,11474683.0040894,501423,BK33
2512218,381704.685246,5936339.11079075,22697473.9900009,73507.0894625727,26935553.1551706,1442574,BK73
38393,6906.007507,101454.99997632,390550.5,1109.47999286652,457044.180212021,23287,BK89
866658,129263.259242,2164081.40031199,8028628.18000078,38109.3197199181,9550539.18593359,503570,BK90
95819,19884.619264,324646.920005579,1159141.80000019,6660.97995426133,1356064.85095096,53480,BK92
80463,16454.221750,347209.260117067,1129275.66000271,29464.6598193739,1262503.99446845,47141,BX14
55001,10022.684490,196935.680062838,664035.200000383,15516.399897594,739744.461637139,31975,BX34
30718,8627.371873,236206.019967509,700708.5,21032.4299573898,789125.443064213,18029,BX43
14776,3452.285629,81234.1200108938,252039,7520.10994577408,277769.181410789,8464,BX75
3688408,901851.306064,21197313.4620908,65781848.2601747,8328755.53242967,85448370.1895775,2143930,LGA
13593932,1717702.459184,20324460.1761404,91720567.5800304,383236.487210877,109105283.642291,7899125,MN24
20741,4511.993096,107232.630073939,339987.669999847,8797.33994841576,376816.551840553,12172,QN01
47219,7884.845568,200205.230091935,630283.880004883,17414.1298699752,704616.73396492,26580,QN03
149949,32900.354983,566571.720114311,1957362.1900013,34054.0297474954,2228501.5629652,87022,QN20
109826,24729.010969,549083.270108582,1740835.42000295,67805.9295411855,1978179.43261171,63368,QN22
13175,3147.418953,95287.4600415919,276994.439868927,7018.17995929718,310362.501145363,7666,QN43
62261,13831.821210,324695.090020334,1020057.78000259,26272.9298226926,1139050.81535196,36376,QN61
10217,1819.184827,33063.5900060777,116888.829999924,2859.65998268127,133665.780292511,6112,QN96
213,78.632450,2232.6399948597,6327.5,334.119998216629,7293.08001041412,129,QN98
37632,11588.744219,299694.970048737,887745.599998474,21081.8498800173,1005242.79313374,21984,BK29
209709,45176.602478,950563.380227111,3082312.70999981,72489.3795106113,3590011.95751262,122319,BK32
717338,133737.771864,2085529.03029619,7716178.59000183,9941.30992747843,9072407.39464546,421528,BK69
119005,19536.293218,303510.88005773,1147797.70999981,1356.58998918533,1282371.30044294,67212,BK72
22582,5858.003465,122320.160030615,389569.330001831,6750.0699505806,429839.441176414,13302,BK83
13199,3658.363407,71062.5600422956,231909,1447.3299934864,250274.550378323,7696,BK85
59901,17926.599085,395814.660053944,1232640.39999962,31693.3298377395,1375030.84513426,36422,BK88
33405,9136.732423,162277.170051597,547697.159999847,2413.06998634338,604732.620467663,19471,BK95
27407,7434.760656,180106.32001185,549098.929999352,18939.6298947334,627652.623728275,15355,BX06
18478,5298.034788,162586.260023575,463326.320007324,19729.6598656178,518431.804941177,10685,BX13
20290,5978.926034,167538.360017521,487746.01,14893.6998990476,535686.883896599,11712,BX44
