passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
80,5.606095,70.7799998000264,358,0,398.60000038147,46,BX33,BX39
11,1.606942,20.7900000214577,91.5,0,100.89999961853,7,QN38,QN01
3,1.049166,31.0299997329712,90,0,94,3,QN56,QN72
10237,761.180470,10683.0399895757,48827,110.869998931885,55515.3200092316,5920,MN34,BX39
1895,396.947369,6491.86000090837,22879.5,33.1999998092651,25779.8900241852,1045,MN28,QN20
221,42.546606,705.530004233122,2513,0,2840.4700012207,141,BK61,BK34
28,11.135549,276.320001602173,805,0,867.639999389648,16,QN27,BK58
24,5.667218,165.559999465942,471,5.32999992370605,548.740001678467,11,QN27,BK41
18,2.309441,65.5999999046326,195,0,224.100002288818,8,QN19,LGA
1,0.900000,18.4599990844727,56.5,5.32999992370605,62.3300018310547,1,QN37,BX40
1,1.497222,22.3999996185303,77,0,77.5,1,BX14,QN30
736,121.233734,2985.8400003612,9585.5,57.5699996948242,10570.7100152969,419,MN28,QN50
198,62.888016,1683.27000035346,5124,252.659997940063,5926.1700668335,102,MN22,QN03
13,6.846942,170.470001220703,493.5,31.4499998092651,608.990001678467,9,BK09,BX37
41,9.712771,321.689998626709,906,41.210000038147,1067.44000244141,18,BK09,BX29
1557,523.446592,12220.5399966836,37197,1227.42999213934,40979.4202685356,927,MN31,BK88
7,2.057220,42.9299998283386,136.5,0,151.200000762939,5,BX49,MN09
1,0.266666,9.67000007629395,27.5,5.32999992370605,33.8300018310547,1,BX03,QN51
154,31.823019,654.820000171661,2152,15.460000038147,2368.33999443054,100,MN11,BX55
47096,4108.921085,53342.1300273035,256409.700000057,2254.0500275325,305410.410035381,30145,QN68,QN68
1955,666.544536,13049.2499960661,41694.5,326.859997749329,48114.4699954987,1150,MN33,BK37
5,0.804442,14.3799998760223,53.5,0,65.8999996185303,5,BK35,QN97
67,6.013040,86.1500006094575,628.330001831055,10.6599998474121,722.170004844666,41,QN54,QN01
98,50.382752,1241.61999845505,3808.03999328613,179.099998474121,4373.02004241943,70,MN40,QN44
10,2.115554,68.460000038147,192,5.32999992370605,220.430000305176,4,BK09,BX59
343838,37646.281408,343956.759533333,1890839.3699999,78.9799998998642,2285061.15044643,202975,MN23,MN28
1,0.255277,9.60000038146973,27,4.80000019073486,32.2999992370605,1,BX49,QN28
1,0.454722,20.7999992370605,56,0,57,1,QN22,BK26
1207,389.956108,9848.41001302004,29589,197.399998426437,33246.2000274658,730,MN13,BX37
52,6.124987,117.019999980927,446.5,10.6599998474121,489.390002250671,30,BX75,MN34
3537,546.238472,10549.8500018716,35388.5,8552.46988677979,50084.1801424026,1747,MN19,MN98
56,5.181374,83.87000015378,324.5,0,374.799999237061,35,BX36,BX40
37810,2310.100825,24103.8000257015,142216,1.50999999977648,175207.929858446,22233,BK38,BK09
10106,1778.684461,24786.5300365165,97703.5,1774.88999271393,109520.83008337,5818,QN63,MN19
322,60.962434,1160.52000176907,3906,0,4230.19999885559,174,MN09,BX40
234,92.412176,2766.60000228882,7764.5,604.299994468689,8925.21011734009,113,MN15,QN10
5,2.333332,38.2900004386902,136,0,148.380001068115,4,BK35,QN27
1,0.541944,8.80000019073486,25.5,0,26.5,1,BK50,BK92
32002,8182.833294,112936.200024679,427196.5,348.469998130575,495456.560445309,18590,MN13,BK75
9,0.676109,16.6300001144409,56,0,59.5,4,QN49,QN48
1,0.611388,16.8999996185303,51,5.32999992370605,57.3300018310547,1,BK69,BX01
1,0.133055,2.70000004768372,10,0,10.5,1,QN34,BK73
14,1.653332,55.3000001907349,163,5.32999992370605,195.910001754761,6,QN46,QN31
11175,4442.973663,136768.460002735,384499.700000763,125.269999504089,418765.110095978,6335,JFK,BK32
157,17.651356,575.71999835968,1736.5,424.2799949646,2269.19999885559,86,QN72,BX55
32,3.401103,107.609999716282,332.5,0,358.099998474121,19,QN35,QN43
734,281.921488,4865.60000085831,16274,402.169997215271,18271.2800693512,423,MN13,BK83
331281,77967.302423,947043.390312698,3853752.22000099,164.119999194518,4430923.31221964,190209,MN40,MN24
1197,332.052514,8601.21000832319,25691,58.6299991607666,27868.5800209045,661,MN13,BX59
2,0.533333,19.8500003814697,53.5,4.80000019073486,59.2999992370605,1,BK79,BX44
29,4.890550,111.299999237061,346,5.32999992370605,387.030002593994,13,MN30,QN95
31,2.095271,28.3999999761581,132,0,148.5,16,BX46,BX75
1,0.450000,8.89000034332275,27.5,0,28,1,QN53,QN52
19,4.160829,115.860000610352,342,47.4399995803833,412.940013885498,9,MN36,QN51
